주소,위도,경도,견인횟수,nearest_park,park_위도,park_경도,distance,time
서울특별시 광진구 광장동 201-2,37.5443774,127.1040935,2,광나루역 2번출구앞 ,37.54542277,127.1044155,815,5
서울특별시 광진구 광장동 218-1,37.5431583,127.1041888,2,광장삼성2차아파트 나동,37.542413,127.101819,391,3
서울특별시 광진구 광장동 218-22,37.5444573,127.1047142,1,광나루역 2번출구앞 ,37.54542277,127.1044155,822,5
서울특별시 광진구 광장동 237-12,37.5453874,127.102961,1,광나루역 2번출구앞 ,37.54542277,127.1044155,560,4
서울특별시 광진구 광장동 237-15,37.5448997,127.103842,7,광나루역 2번출구앞 ,37.54542277,127.1044155,719,6
서울특별시 광진구 광장동 238,37.5454656,127.1036117,1,광나루역 2번출구앞 ,37.54542277,127.1044155,267,1
서울특별시 광진구 광장동 322-6,37.5471989,127.1076351,1,광나루역 2번출구앞 ,37.54542277,127.1044155,494,3
서울특별시 광진구 광장동 336-5,37.5479257,127.1071286,1,영성생활관 뒷편,37.550084,127.104732,953,4
서울특별시 광진구 광장동 378-23,37.5493316,127.0996546,5,영성생활관 뒷편,37.550084,127.104732,736,2
서울특별시 광진구 광장동 380-3,37.5489318,127.0981692,2,영성생활관 뒷편,37.550084,127.104732,910,3
서울특별시 광진구 광장동 381,37.5497598,127.0986626,5,영성생활관 뒷편,37.550084,127.104732,835,2
서울특별시 광진구 광장동 381-16,37.549965,127.099742,1,영성생활관 뒷편,37.550084,127.104732,745,2
서울특별시 광진구 광장동 381-74,37.5494389,127.0988672,2,영성생활관 뒷편,37.550084,127.104732,1366,4
서울특별시 광진구 광장동 383-16,37.5499565,127.1003854,6,영성생활관 뒷편,37.550084,127.104732,693,2
서울특별시 광진구 광장동 396-5,37.5452728,127.1020374,1,광나루역 2번출구앞 ,37.54542277,127.1044155,673,5
서울특별시 광진구 광장동 401-21,37.5454321,127.0989112,2,광장삼성2차아파트 나동,37.542413,127.101819,1123,6
서울특별시 광진구 광장동 414-1,37.5445232,127.0982459,1,대교 경정비 건너편,37.541566,127.096836,443,2
서울특별시 광진구 광장동 448-4,37.5430631,127.1021715,1,광장삼성2차아파트 나동,37.542413,127.101819,729,5
서울특별시 광진구 광장동 5-36,37.5538726,127.1104301,1,영성생활관 뒷편,37.550084,127.104732,1124,3
서울특별시 광진구 광장동 509-4,37.5405047,127.0968755,1,대교 경정비,37.541343,127.096574,146,0
서울특별시 광진구 광장동 517-10,37.5418119,127.0955495,1,KFC 광장동점 앞,37.54164324,127.095147,628,3
서울특별시 광진구 광장동 550-11,37.5472234,127.1026232,1,광나루역 2번출구앞 ,37.54542277,127.1044155,406,2
서울특별시 광진구 광장동 551,37.5459758,127.1050515,1,광나루역 2번출구앞 ,37.54542277,127.1044155,80,0
서울특별시 광진구 광장동 569,37.5416036,127.0984751,1,대교 경정비 건너편,37.541566,127.096836,259,2
서울특별시 광진구 광장동 572-2,37.5408895,127.0963488,1,대교 경정비,37.541343,127.096574,81,0
서울특별시 광진구 광장동 576,37.5425096,127.0977483,1,대교 경정비 건너편,37.541566,127.096836,192,1
서울특별시 광진구 광장동 576-2,37.5426868,127.0983169,1,대교 경정비 건너편,37.541566,127.096836,219,1
서울특별시 광진구 광장동 577,37.5441452,127.1015274,1,광장삼성2차아파트 나동,37.542413,127.101819,1042,6
서울특별시 광진구 광장동 580,37.5449476,127.1030064,10,광나루역 2번출구앞 ,37.54542277,127.1044155,538,4
서울특별시 광진구 광장동 580-1,37.5447097,127.1036893,2,광나루역 2번출구앞 ,37.54542277,127.1044155,694,6
서울특별시 광진구 광장동 581,37.5425728,127.0952471,1,현대자동차 구의점,37.541973,127.094853,464,2
서울특별시 광진구 구의동 111,37.5497384,127.0905142,1,아차산역 2번출구,37.55131682,127.0902279,209,1
서울특별시 광진구 구의동 131,37.5460756,127.0863853,1,구의사거리,37.545064,127.085321,961,6
서울특별시 광진구 구의동 134,37.5453328,127.0854917,2,구의사거리,37.545064,127.085321,619,3
서울특별시 광진구 구의동 175-1,37.5474664,127.097264,1,구의동 우성식품 앞,37.542473,127.094349,758,4
서울특별시 광진구 구의동 200-2,37.541167,127.0953041,2,KFC 광장동점 앞,37.54164324,127.095147,74,0
서울특별시 광진구 구의동 203-27,37.5445826,127.0899405,6,구의 시장 교차로 ,37.5446142,127.0907347,70,0
서울특별시 광진구 구의동 220-40,37.5387132,127.0888378,1,대박집앞,37.538116,127.089644,317,3
서울특별시 광진구 구의동 220-41,37.5390731,127.0905426,1,대박집앞,37.538116,127.089644,308,3
서울특별시 광진구 구의동 227-17,37.5423253,127.090096,2,신덕하이빌 아파트 앞,37.54249,127.090197,19,0
서울특별시 광진구 구의동 234-1,37.5447856,127.0867815,1,국민은행 구의동지점 앞,37.545024,127.087869,599,5
서울특별시 광진구 구의동 234-18,37.5442892,127.0850565,2,구의사거리,37.545064,127.085321,88,0
서울특별시 광진구 구의동 234-20,37.5442519,127.0847466,2,구의사거리,37.545064,127.085321,869,4
서울특별시 광진구 구의동 235-19,37.5437086,127.0854003,1,구의사거리,37.545064,127.085321,185,1
서울특별시 광진구 구의동 236-21,37.5423292,127.0842232,6,커피 BAY,37.542201,127.083972,62,1
서울특별시 광진구 구의동 236-24,37.5428643,127.0846576,1,GS더프레시 광진구의점,37.54260202,127.0843545,875,3
서울특별시 광진구 구의동 236-47,37.5432002,127.0847848,1,GS더프레시 광진구의점,37.54260202,127.0843545,816,3
서울특별시 광진구 구의동 242-56,37.538524,127.0875158,1,대박집앞,37.538116,127.089644,435,3
서울특별시 광진구 구의동 243-13,37.5380999,127.0889296,2,대박집앞,37.538116,127.089644,188,2
서울특별시 광진구 구의동 243-14,37.5376024,127.0865804,4,위비_75 구의역 1번출구,37.53694579,127.084891,192,2
서울특별시 광진구 구의동 243-4,37.5379392,127.0879697,2,대박집앞,37.538116,127.089644,376,4
서울특별시 광진구 구의동 243-66,37.5375938,127.0870344,10,위비_75 구의역 1번출구,37.53694579,127.084891,200,3
서울특별시 광진구 구의동 243-67,37.5376748,127.0871313,1,위비_75 구의역 1번출구,37.53694579,127.084891,259,4
서울특별시 광진구 구의동 243-7,37.5376233,127.0867582,4,위비_75 구의역 1번출구,37.53694579,127.084891,193,2
서울특별시 광진구 구의동 244-19,37.5382558,127.0895,1,대박집앞,37.538116,127.089644,308,3
서울특별시 광진구 구의동 245-24,37.5380692,127.0890292,32,대박집앞,37.538116,127.089644,187,2
서울특별시 광진구 구의동 246-104,37.5370774,127.0848164,1,위비_75 구의역 1번출구,37.53694579,127.084891,603,5
서울특별시 광진구 구의동 246-111,37.5368592,127.0844581,3,위비_75 구의역 1번출구,37.53694579,127.084891,565,4
서울특별시 광진구 구의동 246-117,37.5371067,127.0846219,1,위비_75 구의역 1번출구,37.53694579,127.084891,383,3
서울특별시 광진구 구의동 246-119,37.5368802,127.0844494,1,위비_75 구의역 1번출구,37.53694579,127.084891,565,4
서울특별시 광진구 구의동 246-14,37.5370435,127.0843831,2,위비_75 구의역 1번출구,37.53694579,127.084891,383,3
서울특별시 광진구 구의동 246-20,37.5368715,127.0843325,6,위비_75 구의역 1번출구,37.53694579,127.084891,555,4
서울특별시 광진구 구의동 246-3,37.5375471,127.0863769,8,위비_75 구의역 1번출구,37.53694579,127.084891,187,2
서울특별시 광진구 구의동 246-39,37.5373798,127.0861661,1,위비_75 구의역 1번출구,37.53694579,127.084891,137,2
서울특별시 광진구 구의동 246-41,37.5374066,127.0860414,1,위비_75 구의역 1번출구,37.53694579,127.084891,143,2
서울특별시 광진구 구의동 246-45,37.5372103,127.0855539,3,위비_75 구의역 1번출구,37.53694579,127.084891,73,1
서울특별시 광진구 구의동 246-76,37.5372364,127.0837893,1,싸다김밥 구의역점 앞,37.537501,127.083538,33,0
서울특별시 광진구 구의동 246-99,37.5368445,127.0838224,6,싸다김밥 구의역점 앞,37.537501,127.083538,82,0
서울특별시 광진구 구의동 250-21,37.5421002,127.0842633,2,커피 BAY,37.542201,127.083972,1231,9
서울특별시 광진구 구의동 250-22,37.5417545,127.0849805,1,자양 하늘채베르 근린생활시설 앞,37.5420218,127.0855712,271,1
서울특별시 광진구 구의동 251-137,37.5418772,127.0842465,1,커피 BAY,37.542201,127.083972,1240,9
서울특별시 광진구 구의동 251-38,37.5405385,127.0834941,1,수협 구의지점,37.54096434,127.0836547,50,0
서울특별시 광진구 구의동 251-53,37.5396334,127.0834414,1,신선설농탕 자양점,37.5402689,127.0829697,639,4
서울특별시 광진구 구의동 252-109,37.5386475,127.083729,1,KCC웰츠타워,37.538329,127.083404,348,1
서울특별시 광진구 구의동 252-131,37.5389421,127.0834499,3,KCC웰츠타워,37.538329,127.083404,567,2
서울특별시 광진구 구의동 252-133,37.538175,127.0835324,1,구의 웰츠타워,37.53805142,127.0834589,374,3
서울특별시 광진구 구의동 252-20,37.5387206,127.0833985,1,KCC웰츠타워,37.538329,127.083404,590,3
서울특별시 광진구 구의동 252-22,37.5376051,127.0842522,1,싸다김밥 구의역점 앞,37.537501,127.083538,84,0
서울특별시 광진구 구의동 252-24,37.5376545,127.084696,1,위비_75 구의역 1번출구,37.53694579,127.084891,317,3
서울특별시 광진구 구의동 253-53,37.5449188,127.0836199,1,구의사거리,37.545064,127.085321,755,3
서울특별시 광진구 구의동 257-139,37.5391526,127.0844876,1,KCC웰츠타워,37.538329,127.083404,379,1
서울특별시 광진구 구의동 38-17,37.5475267,127.0981578,3,광나루역 2번출구앞 ,37.54542277,127.1044155,1102,7
서울특별시 광진구 구의동 53-10,37.552312,127.0899793,5,아차산역 2번출구,37.55131682,127.0902279,499,2
서울특별시 광진구 구의동 53-6,37.5515611,127.0903339,1,아차산역 2번출구,37.55131682,127.0902279,379,2
서울특별시 광진구 구의동 546-11,37.5353757,127.0934453,1,강변역 4번출구 앞,37.535243,127.094464,443,2
서울특별시 광진구 구의동 546-2,37.5369651,127.094616,4,강변역버스환승센터,37.53705702,127.0937968,39,0
서울특별시 광진구 구의동 546-3,37.5356687,127.0946879,12,강변역 4번출구 앞,37.535243,127.094464,356,1
서울특별시 광진구 구의동 546-4,37.5356993,127.095765,6,강변역 4번출구 앞,37.535243,127.094464,592,2
서울특별시 광진구 구의동 546-6,37.5353816,127.0945451,2,강변역 4번출구 앞,37.535243,127.094464,378,1
서울특별시 광진구 구의동 546-7,37.5353396,127.0929309,1,비바힐스 강변,37.535121,127.09151,610,3
서울특별시 광진구 구의동 58-16,37.5493832,127.0931689,1,아차산역 2번출구,37.55131682,127.0902279,390,3
서울특별시 광진구 구의동 588-1,37.5366682,127.0936821,1,강변역버스환승센터,37.53705702,127.0937968,1004,4
서울특별시 광진구 구의동 59-1,37.5490108,127.0920224,1,아차산역 2번출구,37.55131682,127.0902279,561,3
